 num     #instances         #bytes  class name (module)
 222:          5239          83824  com.intellij.openapi.actionSystem.Presentation$$Lambda$670/0x00000008007c4440
 223:          2617          83744  com.intellij.psi.impl.compiled.ClsTypeElementImpl$1
 224:          1302          83328  com.intellij.openapi.actionSystem.DefaultActionGroup
 225:          5155          82480  java.util.HashMap$KeySet (java.base@11.0.9.1)
 226:           791          82264  com.intellij.codeInsight.daemon.impl.HighlightInfo
 227:          1281          81984  java.awt.event.InvocationEvent (java.desktop@11.0.9.1)
 228:          3407          81768  com.intellij.psi.impl.compiled.ClsTypeParametersListImpl
 229:          1276          81664  com.intellij.openapi.actionSystem.ActionStub
 230:          1699          81552  com.intellij.psi.ClassFileViewProvider
 231:          2546          81472  java.lang.invoke.LambdaForm$NamedFunction (java.base@11.0.9.1)
 232:          1695          81360  com.intellij.psi.stubs.LazyStubList
 233:          2536          81152  java.util.concurrent.locks.AbstractQueuedSynchronizer$Node (java.base@11.0.9.1)
 234:          1265          80960  com.intellij.ui.CoreIconManager$IconWithToolTipImpl
 235:          1123          80856  com.intellij.psi.impl.source.tree.java.PsiReferenceExpressionImpl
 236:          1680          80640  com.intellij.psi.impl.compiled.ClsJavaCodeReferenceElementImpl
 237:          1427          79912  java.lang.invoke.MethodTypeForm (java.base@11.0.9.1)
 238:          3317          79608  javax.swing.text.html.StyleSheet$ResolvedStyle (java.desktop@11.0.9.1)
 239:          2486          79552  javax.swing.text.html.parser.ContentModel (java.desktop@11.0.9.1)
 240:          1974          78960  java.lang.ref.Finalizer (java.base@11.0.9.1)
 241:          1215          77760  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$ValueParameter
 242:          4824          77184  javax.swing.ArrayTable (java.desktop@11.0.9.1)
 243:          1368          76608  com.intellij.util.io.Page
 244:           562          76432  javax.swing.text.html.ParagraphView (java.desktop@11.0.9.1)
 245:          2384          76288  java.lang.ThreadLocal$ThreadLocalMap$Entry (java.base@11.0.9.1)
 246:          3175          76200  javax.swing.text.GapContent$StickyPosition (java.desktop@11.0.9.1)
 247:          2363          75616  java.lang.invoke.BoundMethodHandle$Species_L (java.base@11.0.9.1)
 248:           718          74672  sun.awt.image.IntegerInterleavedRaster (java.desktop@11.0.9.1)
 249:          1166          74624  com.intellij.ui.components.TwoWayAnimator$MyAnimator
 250:          2320          74240  com.intellij.psi.impl.java.stubs.impl.PsiParameterListStubImpl
 251:          1025          73800  [Lcom.intellij.psi.Weigher;
 252:          1844          73760  java.lang.invoke.DirectMethodHandle$Special (java.base@11.0.9.1)
 253:          3067          73608  org.jdom.ImmutableSameTypeAttributeList
 254:          1528          73344  com.intellij.codeInsight.lookup.LookupElementPresentation
 255:          1302          72912  java.awt.BorderLayout (java.desktop@11.0.9.1)
 256:          3027          72648  com.intellij.util.indexing.containers.ChangeBufferingList
 257:           824          72512  jdk.internal.reflect.DelegatingClassLoader (java.base@11.0.9.1)
 258:          2999          72144  [Ljavax.swing.Icon; (java.desktop@11.0.9.1)
 259:           200          72000  com.intellij.ui.components.panels.Wrapper
 260:          2996          71904  java.lang.Class$AnnotationData (java.base@11.0.9.1)
 261:          1495          71760  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@11.0.9.1)
 262:          2988          71712  com.intellij.psi.stubs.StubIdList
 263:          1778          71120  org.apache.log4j.Logger
 264:           551          70528  javax.swing.text.html.HTMLEditorKit$HTMLFactory$BodyBlockView (java.desktop@11.0.9.1)
 265:           176          70400  com.intellij.ui.components.JBViewport
 266:          3750          69920  [Lcom.intellij.psi.impl.cache.TypeInfo;
 267:          2902          69648  com.intellij.openapi.util.IconLoader$ScaledIconCache
 268:          2877          69048  sun.reflect.annotation.AnnotationInvocationHandler (java.base@11.0.9.1)
 269:          2876          69024  com.intellij.psi.stubs.StubIndexImpl$KeyAndFileId
 270:           782          68816  com.intellij.openapi.editor.impl.RangeHighlighterImpl
 271:          2149          68768  javax.swing.text.StyleContext$NamedStyle (java.desktop@11.0.9.1)
 272:           537          68736  com.intellij.ui.popup.ComponentPopupBuilderImpl
 273:          2131          68192  java.lang.ClassValue$Entry (java.base@11.0.9.1)
 274:          2113          67616  com.intellij.ui.IconDeferrerImpl$$Lambda$838/0x0000000800941440
 275:          2745          65880  com.intellij.ui.JBColor$$Lambda$356/0x0000000800443840
 276:          2736          65664  com.intellij.psi.impl.source.ClassInnerStuffCache
 277:          2717          65208  com.intellij.psi.util.CachedValuesManager$$Lambda$3037/0x0000000801ca8c40
 278:          2689          64536  org.apache.log4j.CategoryKey
 279:          1002          64128  java.lang.Class$ReflectionData (java.base@11.0.9.1)
 280:          2670          64080  kotlin.reflect.jvm.internal.impl.name.Name
 281:          1996          63872  java.awt.Color (java.desktop@11.0.9.1)
 282:          1978          63296  com.intellij.util.ui.JBEmptyBorder
 283:          2630          63120  com.intellij.psi.impl.compiled.ClsMethodImpl$1
 284:          2617          62808  com.intellij.psi.impl.compiled.ClsTypeElementImpl$2
 285:          1570          62800  com.intellij.util.xmlb.OptionTagBinding
 286:          1953          62496  com.intellij.psi.impl.smartPointers.SmartPsiElementPointerImpl
 287:           551          61712  javax.swing.text.html.HTMLEditorKit$HTMLFactory$1 (java.desktop@11.0.9.1)
 288:          1924          61568  com.intellij.util.ui.JBInsets
 289:           160          61440  com.intellij.ui.components.JBScrollBar
 290:          2537          60888  java.util.concurrent.ConcurrentLinkedQueue$Node (java.base@11.0.9.1)
 291:          1268          60864  java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync (java.base@11.0.9.1)
 292:          3795          60720  java.util.concurrent.atomic.AtomicInteger (java.base@11.0.9.1)
 293:          1886          60352  javax.swing.text.html.CSS$LengthValue (java.desktop@11.0.9.1)
 294:          1882          60224  com.intellij.util.containers.UnsafeWeakList$MyReference
 295:          1252          60096  java.lang.invoke.LambdaForm (java.base@11.0.9.1)
 296:          1860          59520  java.util.concurrent.SynchronousQueue$TransferStack$SNode (java.base@11.0.9.1)
 297:           930          59520  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$ValueParameter
 298:           572          59488  javax.swing.text.ParagraphView$Row (java.desktop@11.0.9.1)
 299:           529          59248  java.awt.GridBagConstraints (java.desktop@11.0.9.1)
 300:           135          58320  com.intellij.ide.navigationToolbar.NavBarItem
 301:          1803          57696  jdk.internal.reflect.UnsafeBooleanFieldAccessorImpl (java.base@11.0.9.1)
 302:          1801          57632  com.intellij.serialization.xml.KotlinAwareBeanBinding
 303:           170          57376  [Lcom.intellij.util.containers.ConcurrentIntObjectHashMap$Node;
 304:          1785          57120  com.intellij.psi.impl.compiled.ClsParameterImpl
 305:           647          56936  java.util.regex.Pattern (java.base@11.0.9.1)
 306:          1403          56120  com.intellij.psi.impl.source.tree.java.PsiKeywordImpl
 307:          1728          55296  com.intellij.psi.PsiAnchor$StubIndexReference
 308:          1373          54920  com.intellij.openapi.components.ServiceDescriptor
 309:          1714          54848  com.intellij.psi.stubs.StubTree
 310:           201          54672  javax.swing.CellRendererPane (java.desktop@11.0.9.1)
 311:           205          54640  [Lcom.intellij.psi.tree.IElementType;
 312:           136          54400  com.intellij.ui.SimpleColoredComponent
 313:           839          53696  com.intellij.openapi.editor.impl.RangeMarkerTree$RMNode
 314:          1334          53360  com.intellij.util.containers.ConcurrentIntKeyWeakValueHashMap$MyRef
 315:          1110          53280  java.util.WeakHashMap (java.base@11.0.9.1)
 316:           944          52864  java.lang.Module (java.base@11.0.9.1)
 317:           550          52800  javax.swing.plaf.basic.BasicHTML$BasicDocument (java.desktop@11.0.9.1)
 318:          1647          52704  com.intellij.psi.stubs.LazyStubData
 319:          2152          52656  [Lcom.intellij.codeInspection.bytecodeAnalysis.EKey;
 320:           728          52416  java.util.ResourceBundle$CacheKey (java.base@11.0.9.1)
 321:          1625          52000  com.intellij.codeInspection.bytecodeAnalysis.EffectQuantum$CallQuantum
 322:           720          51840  org.apache.xerces.impl.xs.XSElementDecl
 323:            95          51680  com.intellij.openapi.actionSystem.impl.ActionMenu
 324:          2151          51624  com.intellij.codeInspection.bytecodeAnalysis.Component
 325:          2141          51384  com.intellij.openapi.actionSystem.KeyboardShortcut
 326:          3201          51216  com.intellij.openapi.util.Ref
 327:          1278          51120  com.intellij.psi.infos.CandidateInfo
 328:          2102          50448  com.intellij.psi.impl.ElementBase$ElementIconRequest
 329:          1261          50440  com.intellij.diagnostic.PerformanceWatcher$FreezeCheckerTask
 330:          2520          50400  [Lcom.intellij.openapi.progress.impl.CoreProgressManager$CheckCanceledHook;
 331:           138          49680  com.intellij.openapi.actionSystem.impl.ActionToolbarImpl$MySeparator
 332:          2069          49656  java.util.concurrent.Executors$RunnableAdapter (java.base@11.0.9.1)
 333:           564          49632  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Property
 334:          3064          49024  com.intellij.util.SmartFMap
 335:           468          48672  com.jetbrains.jdi.ArrayTypeImpl
 336:          1516          48512  com.intellij.ui.svg.ImageValue
 337:          2016          48384  com.intellij.psi.impl.source.PsiClassReferenceType
 338:            76          48032  com.intellij.execution.ui.layout.impl.GridCellImpl$GridCellTabs
 339:           745          47680  com.intellij.openapi.editor.impl.RangeHighlighterTree$RHNode
 340:           662          47664  javax.swing.plaf.FontUIResource (java.desktop@11.0.9.1)
 341:          1176          47184  [Ljavax.swing.text.GapContent$MarkData; (java.desktop@11.0.9.1)
 342:          1471          47072  org.jetbrains.kotlin.name.FqNameUnsafe
 343:          1456          46592  java.util.ResourceBundle$KeyElementReference (java.base@11.0.9.1)
 344:          1926          46224  java.util.Collections$SynchronizedRandomAccessList (java.base@11.0.9.1)
 345:          1436          45952  com.intellij.openapi.application.impl.FlushQueue$RunnableInfo
 346:          1147          45880  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@11.0.9.1)
 347:          1888          45312  kotlin.reflect.jvm.internal.ReflectProperties$LazySoftVal
 348:           809          45304  com.intellij.psi.impl.source.PsiTypeElementImpl
 349:          1865          44760  com.intellij.psi.impl.source.SpineRef
 350:          1397          44704  com.intellij.psi.impl.compiled.ClsPackageStatementImpl
 351:          1385          44320  sun.security.util.ObjectIdentifier (java.base@11.0.9.1)
 352:          1836          44064  java.util.Arrays$ArrayList (java.base@11.0.9.1)
 353:           117          43992  java.lang.Thread (java.base@11.0.9.1)
 354:           499          43912  sun.awt.image.BufImgSurfaceData (java.desktop@11.0.9.1)
 355:          2741          43856  javax.swing.text.html.CSSBorder (java.desktop@11.0.9.1)
 356:          1824          43776  com.intellij.codeInsight.daemon.HighlightDisplayKey
 357:          1088          43728  [[I (java.base@11.0.9.1)
 358:          1820          43680  com.intellij.codeInspection.ex.InspectionToolRegistrarKt$registerInspection$factory$1
 359:          2720          43520  java.util.Collections$SingletonSet (java.base@11.0.9.1)
 360:          1813          43512  java.util.BitSet (java.base@11.0.9.1)
 361:          1769          43480  [Ljava.lang.Integer; (java.base@11.0.9.1)
 362:          1354          43328  java.io.File (java.base@11.0.9.1)
 363:          1801          43224  com.intellij.serialization.BaseBeanBinding
 364:          2684          42944  com.intellij.ui.RowIcon$$Lambda$2440/0x00000008019c0840
